data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7064883,706,SOM30932,30932,20200411,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Somalia),,3,Military Forces of Somalia (2017-),,1,13,Eastern Africa,Somalia,Banadir,Mogadishu City,,Mogadishu,2.0414,45.3337,2,Undisclosed Source,Local partner-Other,"On 11 April 2020, an IED detonation exploded targeting a super convoy (assumed military forces of Somalia) which was on its way back to Mogadishu from Maslah village (Mogadishu city, Banadir).",0,1587417447,SOM
7064884,706,SOM30933,30933,20200411,2020,1,Battles,Armed clash,Al Shabaab,,2,AMISOM: African Union Mission in Somalia (2007-),Military Forces of Somalia (2017-),8,28,Eastern Africa,Somalia,Gedo,Luuq,,Kurteele,3.4114,42.9338,2,Undisclosed Source,Local partner-Other,"On 11 April 2020, Al shabaab fighters ambushed an AMISOM/Govt Forces (assumed military) convoy near Kurteele village in Luuq district (Luuq, Gedo). Both sides briefly engaged in a small fight and Al shabaab militants retreated.",0,1587417447,SOM
7064885,706,SOM30934,30934,20200411,2020,1,Battles,Armed clash,Military Forces of Somalia (2017-),,1,Al Shabaab,,2,12,Eastern Africa,Somalia,Bay,Baydhaba,,Mayafulka,3.1292,43.6977,2,Undisclosed Source,Local partner-Other,"On 11 April 2020, Govt security forces (assumed military) on a security patrol clashed with Al shabaab militants near Mayafulka town (Baydhaba,Bay). They briefly engaged in a firefight until the Al shabaab militants retreated.",0,1587417447,SOM
7060311,706,SOM30924,30924,20200411,2020,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-),,1,12,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Awdheegle,1.9833,44.8333,2,Calamada,National,"On 11 April 2020, Al Shabaabs militant attacked government forces (assumed military) in the vicinity of Awdheegle town (Afgooye, Lower Shabelle). Two soldiers were killed.",2,1586813940,SOM
7060574,706,SOM30925,30925,20200411,2020,1,Riots,Violent demonstration,Rioters (Somalia),,5,Police Forces of Somalia (2017-),,1,15,Eastern Africa,Somalia,Galgaduud,Cabudwaaq,,Cabudwaaq,6.1478,46.3964,1,Radio Dalsan,National,"On 11 April 2020, several people, including women and children, demonstrated and burned tires in Cabudwaaq town (Cabudwaaq, Galgaduud) against the Galmudug President over alleged clanism. Police fired guns to disperse the demonstrators. [size=several]",0,1586813941,SOM
7064958,706,SOM30926,30926,20200411,2020,1,Battles,Armed clash,Habar Yoonis-Muse Ismail Sub-Clan Militia (Somalia),,4,Warsangeli Clan Militia (Somalia),,4,44,Eastern Africa,Somalia,Sanaag,Ceerigaabo,,Sanaag,10.5,48,2,Undisclosed Source; Radio Dalsan,Local partner-Other,"On 11 April 2020, armed clan militias from Habar Yoonis-Muse Ismail sub-clan militia fought with Warsangeli clan militia in the vicinity of Sanaag town (Ceerigaabo, Sanaag). The motive behind the fight was clan retaliation.",0,1587417459,SOM
7064550,706,SOM30929,30929,20200411,2020,1,Battles,Armed clash,Al Shabaab,,2,AMISOM: African Union Mission in Somalia (2007-) (Ethiopia),,8,28,Eastern Africa,Somalia,Bay,Buur Hakaba,,Bardaale,3.3516,44.1223,2,Al Furqaan,National,"On 11 April 2020, Al shabaab militants attacked an Amisom convoy (assumed Ethiopian forces) in between Yurkud village and Bardaale town (Buur Hakaba, Bay). 2 Al shabaab militants and 1 Ethiopian soldier were killed in the fight. Al shabaab fighters retreated.",3,1587417446,SOM
7064878,706,SOM30927,30927,20200410,2020,1,Violence against civilians,Abduction/forced disappearance,Al Shabaab,,2,Civilians (Somalia),Aid Workers (Somalia),7,27,Eastern Africa,Somalia,Bay,Baydhaba,,Mooda Mooda,3.007,43.8494,2,Undisclosed Source,Local partner-Other,"On 10 April 2020, Al shabaab abducted two local NGO workers near Mooda-Mooda village who were travelling from Buurhakaba to Baidoa (Bay, Baydhaba).",0,1587417447,SOM
7061060,706,SOM30911,30911,20200410,2020,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-),,1,12,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Afgooye,2.15,45.116,1,Undisclosed Source; Calamada,Local partner-Other,"On 10 April 2020, Al Shabaab fighters shot and killed security officer (assumed military) at Suuqa in Afgooye town (Afgooye, Lower Shabelle).",1,1586814291,SOM
7061061,706,SOM30916,30916,20200410,2020,1,Violence against civilians,Attack,Unidentified Armed Group (Somalia),,3,Civilians (Somalia),Government of Somalia (2017-) Puntland State,7,37,Eastern Africa,Somalia,Mudug,Gaalkacyo,,Gaalkacyo North,6.77,47.63,2,Caasimada; Undisclosed Source,Local partner-Other,"On 10 April 2020, a Puntland government official was shot and killed by two unidentified men while entering a mosque in Gaalkacyo district (Gaalkacyo,Mudug).",1,1586814291,SOM
