data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5669163,608,PHL8771,8771,20190722,2019,1,Protests,Peaceful protest,Protesters (Philippines),BAYAN: Bagong Alyansang Makabayan,6,,,0,60,Southeast Asia,Philippines,Western Visayas,Negros Occidental,Bacolod,Bacolod,10.6666,122.95,1,Philippine Daily Inquirer,National,"Around 3,000 activists associated with groups like BAYAN held a demonstration at Bacolod City, Negros Occidental province during the President's State of the Nation Address on July 22, 2019. They criticized the government for its human rights violations. [size=3,000]",0,1564494186,PHL
5669164,608,PHL8772,8772,20190722,2019,1,Protests,Peaceful protest,Protesters (Philippines),,6,,,0,60,Southeast Asia,Philippines,Central Visayas,Bohol,Tagbilaran,Tagbilaran,9.6555,123.8521,3,Philippine Daily Inquirer,National,"Around 400 people from groups like Hugpong sa mga Mag-uumang Bol-anon held a demonstration at Bohol province area during the President's State of the Nation Address on July 22, 2019. [size=400]",0,1564494186,PHL
5669165,608,PHL8773,8773,20190722,2019,1,Protests,Peaceful protest,Protesters (Philippines),,6,,,0,60,Southeast Asia,Philippines,Eastern Visayas,Leyte,Tacloban,Tacloban,11.2433,125.0047,1,Philippine Daily Inquirer,National,"Protesters held a demonstration at Tacloban City, Leyte province during the President's State of the Nation Address on July 22, 2019. [size=no report]",0,1564494186,PHL
5669166,608,PHL8774,8774,20190722,2019,1,Protests,Peaceful protest,Protesters (Philippines),Manobo Ethnic Group (Philippines); Lumad Ethnic Group (Philippines),6,,,0,60,Southeast Asia,Philippines,Davao Region,Davao del Sur,Davao City,Davao City,7.0731,125.6128,1,Philippine Daily Inquirer,National,"Manobo and Lumad protesters held a demonstration at Davao City, Davao del Sur province on July 22, 2019, the day of the President's State of the Nation speech. They criticized the government for shutting down the schools of indigenous people. [size=no report]",0,1564494186,PHL
7089480,608,PHL8775,8775,20190722,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Philippines),,3,Civilians (Philippines),Government of the Philippines (2016-); Women (Philippines),7,37,Southeast Asia,Philippines,Bicol Region,Albay,Daraga,Ibaugan,13.0245,123.6335,1,Philippine Star,National,"A youth council chairwoman was killed by unidentified assailants at Barangay Ibaugan, Daraga town, Albay province on July 22, 2019.",1,1589298674,PHL
7088770,608,PHL8760,8760,20190722,2019,1,Protests,Peaceful protest,Protesters (Philippines),Labour Group (Philippines),6,,,0,60,Southeast Asia,Philippines,Central Luzon,Zambales,Iba,Iba,15.3276,119.978,2,Philippine Daily Inquirer,National,"Former laborers of Hanjin Heavy Industries and Construction-Philippines, a South Korean shipbuilding company, held a demonstration at Zambales province area during the President's State of the Nation Address on July 22, 2019. [size=no report]",0,1589298669,PHL
7088529,608,PHL8770,8770,20190722,2019,1,Protests,Peaceful protest,Protesters (Philippines),Students (Philippines); Farmers (Philippines); Labour Group (Philippines); Christian Group (Philippines),6,,,0,60,Southeast Asia,Philippines,Western Visayas,Antique,San Jose de Buenavista,San Jose de Buenavista,10.745,121.9415,2,Philippine Daily Inquirer,National,"Around 100 students, farmers, jeepney drivers, and Christian groups held a demonstration at San Jose de Buenavista, Antique province during the President's State of the Nation Address on July 22, 2019. [size=100]",0,1589298668,PHL
7087540,608,PHL8757,8757,20190722,2019,1,Battles,Armed clash,Unidentified Armed Group (Philippines),,3,Police Forces of the Philippines (2016-) Barangay Peacekeeping Action Team,Government of the Philippines (2016-),1,13,Southeast Asia,Philippines,Soccsksargen,Cotabato,Midsayap,Tumbras,7.1448,124.478,1,Manila Bulletin,National,"A Barangay Peacekeeping Action Team officer and a village chairman were killed by unidentified assailants at Barangay Tumbras, Midsayap town, Cotabato province on July 22, 2019. The chairman's wife was wounded. The attack may have been related to a land or political dispute.",2,1589298661,PHL
5923786,608,PHL8758,8758,20190722,2019,1,Protests,Peaceful protest,Protesters (Philippines),BAYAN: Bagong Alyansang Makabayan; Farmers (Philippines); Fishermen (Philippines); ACT: Alliance of Concerned Teachers; Lumad Ethnic Group (Philippines); Teachers (Philippines),6,,,0,60,Southeast Asia,Philippines,National Capital Region,Metro Manila,Quezon City,Quezon City,14.6488,121.0509,1,Philippine Daily Inquirer; Rappler,National,"Activists affiliated with BAYAN, ACT, farmer groups, Lumad groups, and fisherfolk groups held a demonstration in various areas (HOR, CHR, UP Diliman) in Quezon City, Metro Manila during the President's State of the Nation Address on July 22, 2019. They criticized the government for its War on Drugs, economic policies, and policy on the territorial dispute with China. [size=5,350]",0,1567515036,PHL
5923787,608,PHL8818,8818,20190722,2019,1,Protests,Protest with intervention,Protesters (Philippines),,6,Military Forces of the Philippines (2016-),,1,16,Southeast Asia,Philippines,Northern Mindanao,Bukidnon,Malaybalay,Malaybalay,8.1575,125.1277,1,Sunstar (Philippines),National,"On 22 Jul 2019, in Malaybalay City, Bukidnon, rallyists staged a protest during the during the State of the Nation Address (SONA) of the President at the Provincial Capitol grounds. The army blocked the road with their trucks to prevent them from conducting their program according to human rights group Karapatan. [size=no report]",0,1567515036,PHL
