data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7412590,508,MZM1503,1503,20200428,2020,1,Explosions/Remote violence,Air/drone strike,Dyck Advisory Group,,8,Islamist Militia (Mozambique),,3,38,Eastern Africa,Mozambique,Cabo Delgado,Metuge,Cidade De Pemba,Walopuna,-12.8553,40.3608,1,Cabo Ligado,Local partner-Other,"On 28 April 2020, attacks by helicopter gunships were conducted against Islamist militants in Walopuna (Pemba, Cabo Delgado). Dyck Advisory Group are the suspected attackers. No fatalities were reported.",0,1607991365,MOZ
7239554,508,MZM1500,1500,20200428,2020,1,Battles,Armed clash,Islamist Militia (Mozambique),,3,Military Forces of Mozambique (1990-),,1,13,Eastern Africa,Mozambique,Cabo Delgado,Quissanga,Quissanga,Nacoba,-12.66,40.4206,1,Cabo Ligado; GardaWorld,Local partner-Other,"On 28 April 2020, suspected Islamist militants attacked Nacoba village (Quissanga, Cabo Delgado). No fatalities reported. They set fire to the village, burned down 20 huts and killed 15 livestock before being repelled by security forces (assumed military).",0,1601937199,MOZ
7239761,508,MZM1757,1757,20200427,2020,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Ancuabe,Ancuabe,Muaja,-12.9155,39.4739,1,Cabo Ligado,Local partner-Other,"On 27 April 2020, a person was beheaded by members of an Islamist militia in Muaja (Ancuabe, Cabo Delgado), as the group was retreating after an armed clash with FDS forces in Metuge (coded separately).",1,1601937200,MOZ
7239762,508,MZM1756,1756,20200427,2020,1,Strategic developments,Looting/property destruction,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa da Praia,Mocimboa da Praia,1 de Maio,-11.3245,40.3122,1,Cabo Ligado,Local partner-Other,"On 27 April 2020, members of an Islamist militia burned houses in 1 de Maio (Quissanga, Cabo Delgado), as the group was retracting from an armed clash with FDS forces in Metuge (coded separately).",0,1601937200,MOZ
7239763,508,MZM1758,1758,20200427,2020,1,Strategic developments,Looting/property destruction,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Quissanga,Quissanga,Napuda,-12.7725,40.3933,1,Cabo Ligado,Local partner-Other,"On 27 April 2020, members of an Islamist militia burned houses in Napuda (Quissanga, Cabo Delgado), as the group was retracting from an armed clash with FDS forces in Metuge (coded separately).",0,1601937200,MOZ
7412572,508,MZM1497,1497,20200427,2020,2,Battles,Armed clash,Military Forces of Mozambique (1990-),Dyck Advisory Group,1,Islamist Militia (Mozambique),,3,13,Eastern Africa,Mozambique,Cabo Delgado,Metuge,Cidade De Pemba,Metuge,-12.955,40.3643,1,Cabo Ligado,Local partner-Other,"Around 27 April 2020 (between 27 - 28 April), FDS forces, along with the Dyck Advisory Group, attacked members of an Islamist militia in Metuge (Pemba, Cabo Delgado). No fatalities were reported.",0,1607991364,MOZ
7239764,508,MZM1495,1495,20200426,2020,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Macomia,Machova Koko,-12.3636,40.1628,2,Cabo Ligado,Local partner-Other,"On 26 April 2020, suspected Islamist militants killed 4 youths in the Machoba area (Macomia, Cabo Delgado). The youths were chopping wood in the bush at the time of the attack. The attackers threatened that the village would be attacked soon.",4,1601937200,MOZ
7239765,508,MZM1496,1496,20200426,2020,1,Violence against civilians,Abduction/forced disappearance,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Mucojo,Mucojo,-12.0653,40.4794,1,Cabo Ligado,Local partner-Other,"On 26 April 2020, suspected Islamist militants abducted three youths in Mucojo (Macomia, Cabo Delgado). Local people suspected that they were abducted to serve as guides.",0,1601937200,MOZ
7239766,508,MZM1493,1493,20200425,2020,2,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Meluco,Meluco,Nguia,-12.3989,40.0856,1,Cabo Ligado,Local partner-Other,"On 25 April 2020, the bodies of 3 decapitated males was found in Nguia (Meluco, Cabo Delgado). Suspected Islamist militants are believed to be behind the killings.",3,1601937200,MOZ
7412574,508,MZM1494,1494,20200424,2020,1,Battles,Armed clash,Islamist Militia (Mozambique),,3,Military Forces of Mozambique (1990-),,1,13,Eastern Africa,Mozambique,Cabo Delgado,Metuge,Cidade De Pemba,Metuge,-12.955,40.3643,1,Cabo Ligado,Local partner-Other,"On 24 April 2020, Islamist militants attacked the military forces of Mozambique in Pemba-Metuge (Pemba, Cabo Delgado). 4 fatalities were reported.",4,1607991364,MOZ
7239768,508,MZM1492,1492,20200422,2020,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Meluco,Muaguide,Imbada,-12.3989,40.0856,1,Cabo Ligado,Local partner-Other,"On 22 April 2020, suspected Islamist militants killed 4 civilians attending a funeral in Imbada (Meluco, Cabo Delgado).",4,1601937200,MOZ
7099553,508,MZM1525,1525,20200422,2020,2,Violence against civilians,Attack,Police Forces of Mozambique (1990-),,1,Civilians (Mozambique),,7,17,Eastern Africa,Mozambique,Sofala,Beira,Cidade Da Beira,Beira,-19.8436,34.8389,1,Club Mozambique,National,"Around 22 April 2020 (week of), a man was beaten to death by police in Beira (Beira, Sofala), after he questioned police that had stopped youth from playing football citing Coronavirus lockdown.",1,1589834546,MOZ
