data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction
6763351,231,ETH3038,3038,20160530,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,,,0,60
6763352,231,ETH3039,3039,20160530,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,,,0,60
6410917,231,ETH3040,3040,20160530,2016,1,Protests,Protest with intervention,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,Police Forces of Ethiopia (1995-2018),,1,16
6410918,231,ETH3033,3033,20160530,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,,,0,60
6410919,231,ETH3034,3034,20160530,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,,,0,60
6410920,231,ETH3035,3035,20160530,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,,,0,60
6410922,231,ETH3037,3037,20160530,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,,,0,60
6411167,231,ETH3032,3032,20160529,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
6411292,231,ETH3031,3031,20160528,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
6411168,231,ETH3029,3029,20160528,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
6411516,231,ETH3028,3028,20160528,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
7212960,231,ETH3027,3027,20160527,2016,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),OFC: Oromo Federalist Congress,7,37
6410928,231,ETH3026,3026,20160527,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
6411173,231,ETH3025,3025,20160526,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,,,0,60
6411175,231,ETH3024,3024,20160525,2016,1,Violence against civilians,Attack,Police Forces of Ethiopia (1995-2018),,1,Civilians (Ethiopia),Students (Ethiopia),7,17
6410932,231,ETH3023,3023,20160524,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
6411298,231,ETH3022,3022,20160523,2016,1,Protests,Excessive force against protesters,Police Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
7212948,231,ETH3020,3020,20160523,2016,1,Protests,Protest with intervention,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,16
6411178,231,ETH3021,3021,20160523,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
