data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7451025,368,IRQ28809,28809,18-Dec-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,8,,,0,80,Middle East,Iraq,Dahuk,Zakho,,Avlihe,37.2301,42.9438,1,Rudaw,National,"On 18 December 2020, Turkish army forces carried out artillery strikes targeting Rese (Ruse), Sedne (Shudin), Kalghori (Kalakhwar), Xezava (Khizava), Mala Arab, Banke (Banik as Sufla), Mnene (Minin) and Avlahi (Avlihe) villages in Zakho district of Dahuk, Northern Iraq. No information on casualties was reported. One event for each location (total 8 events) were coded.",0,1610397236,IRQ
7451026,368,IRQ28813,28813,18-Dec-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,8,,,0,80,Middle East,Iraq,Dahuk,Zakho,,Beguva,37.2375,43.1628,2,Rudaw,National,"On 18 December 2020, Turkish forces shelled villages in Beguva district, Dahuk. Source reported that there were no fatalities or injuries. Some of Turkey's bombs landed near bases of Iraqi border guards.",0,1610397236,IRQ
7450771,368,IRQ28551,28551,18-Dec-20,2020,1,Strategic developments,Disrupted weapons use,Military Forces of Iraq (2020-) Counter-Terrorism Service,,1,,,0,10,Middle East,Iraq,Baghdad,Sadr City,,Baghdad - Sadr City,33.3912,44.4575,1,Al Sumaria TV,National,"Defusal: On 18 December 2020, experts in combating explosives (assumed to be CTS) safely defused an explosive device that was placed in front of the house of an employee in the Ministry of Education within Al-Husseiniyah district, Baghdad - Sadr City.",0,1610397233,IRQ
7451027,368,IRQ28452,28452,18-Dec-20,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,8,,,0,80,Middle East,Iraq,Dahuk,Zakho,,Minin,37.2337,42.9836,1,Rudaw,National,"On 18 December 2020, Turkish army warplanes carried out airstrikes targeting Rese (Ruse), Sedne (Shudin), Kalghori (Kalakhwar), Xezava (Khizava), Mala Arab, Banke (Banik as Sufla), Mnene (Minin) and Avlahi (Avlihe) villages in Zakho district of Dahuk, Northern Iraq. No information on casualties was reported. One event for each location (total 8 events) were coded.",0,1610397236,IRQ
7451028,368,IRQ28815,28815,18-Dec-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,8,,,0,80,Middle East,Iraq,Dahuk,Zakho,,Khizava,37.1978,42.9646,1,Rudaw,National,"On 18 December 2020, Turkish army forces carried out artillery strikes targeting Rese (Ruse), Sedne (Shudin), Kalghori (Kalakhwar), Xezava (Khizava), Mala Arab, Banke (Banik as Sufla), Mnene (Minin) and Avlahi (Avlihe) villages in Zakho district of Dahuk, Northern Iraq. No information on casualties was reported. One event for each location (total 8 events) were coded.",0,1610397236,IRQ
7451029,368,IRQ28447,28447,18-Dec-20,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,8,,,0,80,Middle East,Iraq,Dahuk,Amedi,,Dereluk,37.056,43.6519,1,Shafaaq News,National,"On 18 December 2020, Turkish warplanes conduct airstrikes in Dereluk, Dahuk. Source reported that there were no casualties.",0,1610397236,IRQ
7450775,368,IRQ28817,28817,18-Dec-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,8,,,0,80,Middle East,Iraq,Dahuk,Bamerne,,Metin,37.1409,43.2529,2,ANF News,International,"On 18 December 2020, Turkish army forces carried out artillery strikes targeting the Metin mountain area in Dahuk, Northern Iraq. No information on casualties was reported.",0,1610397233,IRQ
7450776,368,IRQ28444,28444,18-Dec-20,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,8,,,0,80,Middle East,Iraq,Dahuk,Amedi,,Amadiya,37.0921,43.4877,2,ANF News,International,"On 18 December 2020, Turkish army warplanes carried out airstrikes in Nihel area (Unknown location) in Amadiya district of Dahuk, Northern Iraq. No information on casualties was reported.",0,1610397233,IRQ
7450777,368,IRQ28808,28808,18-Dec-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,8,,,0,80,Middle East,Iraq,Dahuk,Amedi,,Amadiya,37.0921,43.4877,2,ANF News,International,"On 18 December 2020, Turkish army forces carried out artillery strikes targeting Nihel area (Unknown location) in Amadiya district of Dahuk, Northern Iraq. No information on casualties was reported.",0,1610397233,IRQ
7450778,368,IRQ28451,28451,18-Dec-20,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,8,,,0,80,Middle East,Iraq,Dahuk,Bamerne,,Metin,37.1409,43.2529,2,ANF News,International,"On 18 December 2020, Turkish army warplanes carried out airstrikes targeting Metin mountain area in Dahuk, Northern Iraq. No information on casualties was reported.",0,1610397233,IRQ
